,Parent_region,Region,SQL_unique_name,Time_to_75__percentage_daily_utility_in_weeks,Time_to_25__percentage_daily_utility_in_weeks,Avg_cost_per_week,January,February,March,April,May,June,July,August,September,October,November,December,Safety from crime,Nature_wildlife,Hiking,Beach,Water_sports,Entertainment,Winter_sports,Culture,Culinary_arts,Cities_architecture,Shopping
0,,World,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,World,Europe,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,World,North_America,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,World,Middle_America_and_Caribbean,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,World,South_America,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
5,World,Africa,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6,World,Asia,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
7,World,Oceania,,1,4,400,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
8,North_America,Canada,,1,8,725,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
9,Canada,Canada_North,CND_NO,1,4,725,1,1,1,1,3,4,5,5,4,3,1,1,4,3,3,1,1,1,3,1,1,1,1
10,Canada,British_Columbia,CND_BC,1,8,725,1,1,1,2,3,4,5,5,4,3,1,1,4,5,5,2,3,4,5,3,4,4,4
11,Canada,Prairies,CND_PR,1,8,725,1,1,1,2,3,4,5,5,4,3,1,1,4,5,5,2,2,1,5,2,2,2,2
12,Canada,Ontario,CND_ON,1,8,725,1,1,2,3,4,5,5,5,5,4,2,1,4,5,5,1,2,4,2,3,2,3,3
13,Canada,Quebec,CND_QU,1,8,725,1,1,2,3,4,5,5,5,5,4,2,1,4,4,4,1,2,4,4,4,2,4,4
14,Canada,Atlantic_Provinces,CND_AT,1,4,725,1,1,2,3,4,5,5,5,5,4,2,1,4,5,3,2,4,3,3,3,4,2,3
15,North_America,Greenland,GRL,1,4,975,1,1,2,3,4,5,5,5,5,4,2,1,5,4,4,1,3,1,3,2,1,1,1
16,North_America,USA,,1,12,600,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3
17,USA,Alaska,USA_AL,1,12,975,1,1,1,1,3,4,5,5,4,3,1,1,4,5,4,1,2,2,3,2,3,1,1
18,USA,Pacific_Northwest,USA_PN,1,12,600,2,2,2,3,4,5,5,5,5,4,3,2,4,5,4,3,2,3,4,3,3,4,3
19,USA,California,USA_CA,1,12,600,3,3,4,5,5,4,4,4,5,5,4,3,3,4,4,5,4,5,2,4,3,5,5
20,USA,USA_Southwest,USA_SW,1,12,600,3,3,4,5,5,4,3,3,5,5,4,3,4,5,4,1,2,2,1,2,2,2,1
21,USA,Rocky_Mountains,USA_RM,1,12,600,2,2,2,3,4,5,5,5,5,4,3,2,4,4,5,1,1,2,5,2,2,2,1
22,USA,Great_Plains,USA_GP,1,12,600,1,2,2,3,4,5,4,4,5,4,2,1,4,3,1,1,1,1,1,2,2,1,1
23,USA,Texas,USA_TX,1,8,600,2,3,4,5,5,4,3,3,5,4,3,2,4,2,2,3,3,3,2,4,3,3,3
